exchangeInstrumentID,symbol,reason
2043,RAMCOCEM,no_fut_or_opt_pattern
13451,RATNAMANI,no_fut_or_opt_pattern
2859,RAYMOND,no_fut_or_opt_pattern
18391,RBLBANK,no_fut_or_opt_pattern
2866,RCF,no_fut_or_opt_pattern
15355,RECLTD,no_fut_or_opt_pattern
14255,REDINGTON,no_fut_or_opt_pattern
2885,RELIANCE,no_fut_or_opt_pattern
12026,RENUKA,no_fut_or_opt_pattern
31163,RHIM,no_fut_or_opt_pattern
3761,RITES,no_fut_or_opt_pattern
11411,RKFORGE,no_fut_or_opt_pattern
128,ROUTE,no_fut_or_opt_pattern
18566,RRKABEL,no_fut_or_opt_pattern
27297,RTNINDIA,no_fut_or_opt_pattern
9552,RVNL,no_fut_or_opt_pattern
2963,SAIL,no_fut_or_opt_pattern
30125,SAMMAANCAP,no_fut_or_opt_pattern
1442,SANOFI,no_fut_or_opt_pattern
6718,SAPPHIRE,no_fut_or_opt_pattern
4892,SAREGAMA,no_fut_or_opt_pattern
18026,SBFC,no_fut_or_opt_pattern
17971,SBICARD,no_fut_or_opt_pattern
21808,SBILIFE,no_fut_or_opt_pattern
3045,SBIN,no_fut_or_opt_pattern
1011,SCHAEFFLER,no_fut_or_opt_pattern
31234,SCHNEIDER,no_fut_or_opt_pattern
3048,SCI,no_fut_or_opt_pattern
3103,SHREECEM,no_fut_or_opt_pattern
4306,SHRIRAMFIN,no_fut_or_opt_pattern
4693,SHYAMMETL,no_fut_or_opt_pattern
3150,SIEMENS,no_fut_or_opt_pattern
18743,SIGNATURE,no_fut_or_opt_pattern
18883,SJVN,no_fut_or_opt_pattern
3186,SKFINDIA,no_fut_or_opt_pattern
13826,SOBHA,no_fut_or_opt_pattern
13332,SOLARINDS,no_fut_or_opt_pattern
4684,SONACOMS,no_fut_or_opt_pattern
6596,SONATSOFTW,no_fut_or_opt_pattern
14788,SPARC,no_fut_or_opt_pattern
3273,SRF,no_fut_or_opt_pattern
7083,STARHEALTH,no_fut_or_opt_pattern
17105,SUMICHEM,no_fut_or_opt_pattern
3339,SUNDARMFIN,no_fut_or_opt_pattern
3345,SUNDRMFAST,no_fut_or_opt_pattern
